filename;var1;var2;var3;var4;label;period;start;end;egg_f0;degg_oq;howard_oq
dhâlem_iso_1_mis;dhâlem;iso;1;mis;v;1;0,1242126143596111;0,13106732582552394;145,88506095009367;0,725245367719985;0,6982169635183322
dhâlem_iso_1_mis;dhâlem;iso;1;mis;v;2;0,13106732582552394;0,13806237686987277;142,95821340830398;0,6938382814757388;0,6745664670574275
dhâlem_iso_1_mis;dhâlem;iso;1;mis;v;3;0,13806237686987277;0,14508871480079746;142,32164889177147;0,6768778784512609;0,6575210082714351
dhâlem_iso_1_mis;dhâlem;iso;1;mis;v;4;0,14508871480079746;0,15210181023881036;142,59038805884856;0,6698015800048527;0,651717958098309
dhâlem_iso_1_mis;dhâlem;iso;1;mis;v;5;0,15210181023881036;0,15910181566543216;142,8570321098451;0,6633956225735458;0,6440088815199322
dhâlem_iso_1_mis;dhâlem;iso;1;mis;v;6;0,15910181566543216;0,16606647735848118;143,58199207264235;0,6626271187816598;0,6451943956300471
dhâlem_iso_1_mis;dhâlem;iso;1;mis;v;7;0,16606647735848118;0,1730603679369757;142,98193384307345;0,6526410597676948;0,6326880897901503
dhâlem_iso_1_mis;dhâlem;iso;1;mis;v;8;0,1730603679369757;0,18005358416187578;142,9957215450306;0,6513148615690374;0,6317790488842252
dhâlem_iso_1_mis;dhâlem;iso;1;mis;v;9;0,18005358416187578;0,18703017794035698;143,33642343982072;0,6482034891427478;0,6299293628426011
dhâlem_iso_1_mis;dhâlem;iso;1;mis;v;10;0,18703017794035698;0,19400881322449168;143,2944923018703;0,6433001536918033;0,6236983374653267
dhâlem_iso_1_mis;dhâlem;iso;1;mis;v;11;0,19400881322449168;0,2009381227236628;144,31452370825983;0,64207168993279;0,6209429752720397
dâlem_iso_1_mis;dâlem;iso;1;mis;v;1;0,14786050476092472;0,1550694590378263;138,7163743296486;0,5082836847070163;0,5283765473952695
dâlem_iso_1_mis;dâlem;iso;1;mis;v;2;0,1550694590378263;0,16223573087566914;139,5425714552595;0,48931599488717065;0,5256541980136585
dâlem_iso_1_mis;dâlem;iso;1;mis;v;3;0,16223573087566914;0,16934347763203342;140,69156292106217;0,4813728709987336;0,5099685957139387
dâlem_iso_1_mis;dâlem;iso;1;mis;v;4;0,16934347763203342;0,1765982374918533;137,84053770524497;0,5380349055383947;0,5089055410780959
dâlem_iso_1_mis;dâlem;iso;1;mis;v;5;0,1765982374918533;0,18382434066355166;138,38717442017486;0,46233830511208746;0,5104997685796895
dâlem_iso_1_mis;dâlem;iso;1;mis;v;6;0,18382434066355166;0,1910318497209603;138,74418915534974;0,46283223906342674;0,5117024053087073
